epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
14,12.14206600189209,12.386781692504883,0.15062230825424194,7.589336395263672,0.004157294053584337,0.9668577805768659,0.9543466953636445,0.9646396548650481,0.8753825972890249,0.9333333333333333,0.9034296028880866,1858,285,143,2002
15,12.259718894958496,12.190179824829102,0.24107074737548828,7.589430809020996,0.004460868891328573,0.965878614738806,0.953543179983858,0.9630271157853252,0.8733681462140992,0.9361007462686567,0.9036470058532192,1853,291,137,2007
16,12.123867988586426,12.357802391052246,0.13566988706588745,7.589389801025391,0.00517422566190362,0.9702788850861874,0.955707009111127,0.968686117880845,0.8817582417582418,0.934762348555452,0.9074869938927844,1873,269,140,2006
17,12.155616760253906,12.468231201171875,0.157312273979187,7.589465141296387,0.008525952696800232,0.9711155664502521,0.952247029788211,0.9688992316981482,0.8852097130242825,0.9360410830999066,0.9099160426594055,1886,260,137,2005
18,12.190571784973145,12.32651138305664,0.1875518262386322,7.589493274688721,0.004545621108263731,0.9728719406274237,0.95575786271809,0.9695685477031172,0.8944320712694878,0.9361305361305361,0.9148063781321184,1906,237,137,2008
19,12.149908065795898,12.323701858520508,0.15530332922935486,7.589428901672363,0.005679999012500048,0.9749545709371037,0.9576045627376426,0.9735020821183124,0.8975391498881432,0.9343269678621332,0.9155636695572797,1912,229,141,2006
20,12.187867164611816,12.093828201293945,0.18531139194965363,7.589442729949951,0.0048042237758636475,0.9770230391788954,0.9570262756703435,0.9755668734637417,0.9032976827094474,0.9449883449883449,0.9236728184096605,1926,217,118,2027
21,12.052058219909668,12.09848690032959,0.08086349070072174,7.589467525482178,0.004307967610657215,0.97729323095632,0.9564989687023585,0.9751357504168523,0.9063906390639064,0.9398040130657956,0.922794959908362,1937,208,129,2014
22,12.098343849182129,12.053849220275879,0.11653231829404831,7.589461803436279,0.004386264365166426,0.981640011877996,0.9586878542219671,0.9809834849171675,0.9071428571428571,0.9473193473193473,0.9267958950969213,1935,208,113,2032
23,12.186652183532715,12.353548049926758,0.18406224250793457,7.589492321014404,0.005107374396175146,0.9821481986670973,0.9628221316650404,0.9808736420619398,0.9170423805229937,0.9491367242183855,0.9328135748681495,1961,184,109,2034
24,12.207016944885254,12.302270889282227,0.19800445437431335,7.58951473236084,0.007223117630928755,0.9844713693523773,0.9619289158009527,0.983130438892763,0.918724741805119,0.9538461538461539,0.9359560841720037,1962,181,99,2046
25,12.160685539245605,12.213785171508789,0.16397684812545776,7.589482307434082,0.005173497833311558,0.9846467111982744,0.9626770642399285,0.9834463798958003,0.926463912846119,0.9515151515151515,0.9388224471021159,1981,162,104,2041
26,12.298273086547852,12.415529251098633,0.27025532722473145,7.589453220367432,0.005122686270624399,0.9863431326800437,0.9595778795694142,0.9851513990587675,0.9298642533936652,0.9589360709286048,0.9441764300482426,1990,155,88,2055
27,12.19483470916748,12.188021659851074,0.19116812944412231,7.589494228363037,0.004150584805756807,0.9865321828358209,0.9626664370982552,0.9853295152275381,0.9288627095604893,0.9561567164179104,0.9423121121581246,1987,157,94,2050
28,12.118489265441895,12.41970443725586,0.1339021921157837,7.58951473236084,0.0021091632079333067,0.9871503360537424,0.9642973724329656,0.9861063831751643,0.9320959710276143,0.9599067599067599,0.9457969683050069,1993,150,86,2059
29,12.045156478881836,11.993725776672363,0.07717425376176834,7.589509010314941,0.002266254276037216,0.9882699146588432,0.9584911616161615,0.9869616264042855,0.9320432043204321,0.9646017699115044,0.9480430304417486,1990,151,76,2071
