epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
13,12.27268123626709,12.325743675231934,0.28347668051719666,7.562532424926758,0.004788508638739586,0.9712865762329131,0.952231835399449,0.9687229666384025,0.8930170098478066,0.9309379374708353,0.9115832762165867,1906,239,148,1995
14,12.046195030212402,12.347302436828613,0.11620661616325378,7.556225299835205,0.004921477288007736,0.974786234142277,0.9511980773369683,0.9726237935685483,0.9013833110218652,0.9426038264115726,0.9215328467153284,1924,221,123,2020
15,12.14083480834961,12.377357482910156,0.18534409999847412,7.559535980224609,0.004790977109223604,0.9767036820699909,0.9519913337613843,0.974500295076116,0.9093764019739794,0.945870275314979,0.9272644098810613,1943,202,116,2027
16,12.049956321716309,12.227603912353516,0.12287579476833344,7.5526933670043945,0.005555089563131332,0.9783170058058588,0.9528337757371403,0.9761073077822108,0.9064458370635631,0.9444962686567164,0.9250799451804477,1935,209,119,2025
17,12.325920104980469,12.343239784240723,0.3445209264755249,7.546886920928955,0.0036438724491745234,0.9777243677947375,0.9556572674804418,0.9756638984057251,0.9090094128193635,0.9445738239403819,0.9264504339881224,1938,203,119,2028
18,12.111650466918945,12.347660064697266,0.1763819307088852,7.5483927726745605,0.004754875786602497,0.9802431379510487,0.9478513523208265,0.9782057014268233,0.91681654676259,0.9519140989729225,0.9340357306459002,1961,185,103,2039
19,12.103327751159668,12.084856033325195,0.17441697418689728,7.545658588409424,0.003378911642357707,0.9793459968116508,0.9492008149678604,0.9769086646476557,0.9170049616599008,0.9482276119402985,0.9323549644576932,1960,184,111,2033
20,12.215103149414062,12.296479225158691,0.2632504999637604,7.544026851654053,0.0026844560634344816,0.9819086493498527,0.9532642226845541,0.9797147931017313,0.9199640287769785,0.9529576152771309,0.9361702127659575,1963,178,101,2046
21,12.036991119384766,12.556013107299805,0.13705933094024658,7.534866809844971,0.002486006123945117,0.9824647162375357,0.9480386248852157,0.9803344597241667,0.9213483146067416,0.9552656104380243,0.9380004575611988,1967,175,96,2050
22,12.053735733032227,12.428990364074707,0.08801282942295074,7.58472204208374,0.004198035690933466,0.9843011973755198,0.9513099747474747,0.9829591170596743,0.9207699194270367,0.957635009310987,0.9388407120036513,1963,177,91,2057
23,12.166812896728516,12.079854965209961,0.17940515279769897,7.581984996795654,0.0032485348638147116,0.9839424877744535,0.9553703059368757,0.9824735657030538,0.9235985533453888,0.9542269967304998,0.9386629910406616,1978,169,98,2043
24,12.122366905212402,12.17878246307373,0.15781821310520172,7.569908142089844,0.005603934172540903,0.986307237637149,0.9556783126479662,0.9845449692847912,0.930285196921684,0.9589360709286048,0.9443933823529411,1991,154,88,2055
25,11.983613014221191,12.385443687438965,0.08789373934268951,7.540526390075684,0.003804067149758339,0.9856041298878443,0.9565643159480594,0.9835787911480071,0.9272237196765498,0.9631357909472702,0.9448386358434424,1983,162,79,2064
26,11.960403442382812,12.2072114944458,0.05103703588247299,7.555925369262695,0.004091108217835426,0.9859202268740255,0.9567364947270248,0.9849320692815259,0.9242560865644724,0.9561567164179104,0.9399358092618065,1976,168,94,2050
27,12.056504249572754,12.256253242492676,0.14617006480693817,7.539726257324219,0.00254537514410913,0.9865171604522517,0.9557169760559592,0.9845531432900704,0.9340909090909091,0.9593837535014006,0.946568401658222,2001,145,87,2055
28,12.121033668518066,12.052350997924805,0.17860379815101624,7.553030967712402,0.004013694357126951,0.9873564386138224,0.9581462084798049,0.9860022095570334,0.9315192743764172,0.9593647828117702,0.9452369995398067,1996,151,87,2054
29,12.12645149230957,12.118258476257324,0.20962882041931152,7.531007766723633,0.003901857417076826,0.9890680912745089,0.9579816559833276,0.9879183242689046,0.9406165004533091,0.9664648346530041,0.9533654950608775,2010,131,72,2075
