epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
15,12.559896469116211,12.402690887451172,0.47003698348999023,7.589791297912598,0.007237269077450037,0.9642258891751794,0.9429952938475665,0.9611235051856963,0.8728476821192053,0.9212488350419384,0.8963953751983678,1854,288,169,1977
16,12.15832805633545,12.151390075683594,0.16474412381649017,7.589629650115967,0.0018295836634933949,0.9672637208801464,0.9467824090680823,0.9638205572521321,0.8803003533568905,0.9300046663555763,0.9044701611073293,1874,271,150,1993
17,12.06359577178955,12.253645896911621,0.09075427055358887,7.589552402496338,0.002992094261571765,0.9669602230454158,0.9463030189978763,0.9635073411723127,0.8847864768683275,0.9268406337371855,0.9053254437869822,1883,259,157,1989
18,12.39404582977295,12.090206146240234,0.34588491916656494,7.589595317840576,0.0028540499042719603,0.9676472328602146,0.9480662507757597,0.9641488863296824,0.8869335679718434,0.9394221808014911,0.9124236252545825,1885,257,130,2016
19,12.206292152404785,12.558342933654785,0.19988511502742767,7.589516639709473,0.004270032048225403,0.9699662978252396,0.9494619413157328,0.9673230647407002,0.883495145631068,0.933768656716418,0.9079365079365079,1880,264,142,2002
20,12.437588691711426,12.71544075012207,0.37852293252944946,7.589498519897461,0.00416985061019659,0.970875395824686,0.952543224047636,0.9684028768917154,0.8873114463176575,0.9337068160597572,0.9099181073703366,1892,254,142,2000
21,12.19001293182373,12.420799255371094,0.18906426429748535,7.589587688446045,0.002056583296507597,0.9708695410981926,0.9493363942894038,0.9676801934419113,0.8918918918918919,0.9393373775081661,0.915,1901,244,130,2013
22,12.23945140838623,12.529654502868652,0.22720462083816528,7.589451313018799,0.0022817845456302166,0.9738668859527467,0.9455125905732118,0.9703776756832515,0.8991111111111111,0.9440037330844611,0.9210106988390622,1918,227,120,2023
23,12.324950218200684,12.680047988891602,0.2911324203014374,7.589603900909424,0.0045564062893390656,0.975380574390176,0.9500251094052657,0.9732046897366012,0.8950617283950617,0.9468283582089553,0.9202175883952856,1906,238,114,2030
24,12.148167610168457,12.568075180053711,0.15679772198200226,7.589603900909424,0.0019928787369281054,0.9755820163659641,0.949892927474057,0.9726337491122922,0.8979591836734694,0.9435897435897436,0.9202091384405546,1913,230,121,2024
25,12.1596097946167,12.302543640136719,0.1640348732471466,7.589593410491943,0.003936991561204195,0.9758226271858988,0.950810675084296,0.9726427914143193,0.8970848056537103,0.9472947761194029,0.9215063520871143,1911,233,113,2031
26,12.129581451416016,12.2346773147583,0.1424308568239212,7.5895843505859375,0.0020468381699174643,0.9769482084679215,0.9525831919449895,0.9740520985452418,0.9071111111111111,0.9519589552238806,0.9289940828402367,1935,209,103,2041
27,12.171554565429688,12.344237327575684,0.17351247370243073,7.589572906494141,0.0036551852244883776,0.976546184074961,0.952188791322314,0.9739990820918651,0.8991596638655462,0.9482276119402985,0.9230419977298524,1916,228,111,2033
28,12.069302558898926,12.274186134338379,0.09479790180921555,7.5895586013793945,0.0034193589817732573,0.9797778249610158,0.9500220601686616,0.9776374695935636,0.9135086937137762,0.9556902985074627,0.9341235468429451,1950,194,95,2049
29,12.297053337097168,12.552391052246094,0.2720215320587158,7.589539527893066,0.0017230797093361616,0.9808457524743105,0.9516936111599346,0.9783238224646016,0.9154051647373108,0.9585081585081585,0.9364609428376224,1953,190,89,2056
